id,iate_estimate,ci_low,ci_high,tau_true,dutch_prof
0,5.501621875813629,4.704802822136933,6.298440929490326,6.373619497046689,1
1,7.566048554344483,6.940712723548986,8.191384385139978,8.392438988300185,0
2,4.2983772963569535,3.396537561674587,5.200217031039319,3.5806082041082563,2
3,7.389727654892666,6.9869486104287875,7.792506699356552,7.7064409179869084,0
4,6.409387101694196,5.649332258102746,7.169441945285647,6.28914346561216,1
5,7.379896317416335,6.666702084286859,8.093090550545812,7.262864439629888,0
6,4.14565414703285,3.1289792204918814,5.1623290735738205,4.159832831570003,2
7,2.998148492397812,2.070384307019462,3.9259126777761595,2.8617213299599475,3
8,7.091372196142667,6.3273473253342445,7.855397066951086,8.34975818278538,0
9,4.570535130942541,4.085814957356357,5.055255304528725,4.229248251893711,2
10,4.722611643289639,4.398699169271736,5.04652411730754,4.964659261906174,2
11,7.425716658274812,7.008012341368859,7.843420975180765,7.366162969639219,0
12,3.067138459657487,2.643048575727965,3.4912283435870055,2.953054527689041,3
13,4.426697479071971,3.6764975881731625,5.17689736997078,3.6309466343359573,2
14,5.560080807138174,4.9280125325145425,6.1921490817618015,6.048502606315572,1
15,4.6773126777571346,4.10785449277917,5.2467708627350955,4.694163559376996,2
16,6.832368487737269,6.170818413966345,7.493918561508193,6.348629453284512,1
17,7.487757787544866,6.424425233761537,8.551090341328191,8.130888756613436,0
18,6.154107641722925,5.703078913627099,6.605136369818755,5.264131712242285,1
19,4.412001504588954,3.7015704485911405,5.122432560586767,4.566917230665703,2
20,2.803134415758036,2.2284705072382742,3.3777983242777943,3.044654942298838,3
21,5.905750428008936,5.463828606890339,6.347672249127533,6.0152125969852674,1
22,5.851691372296733,5.3660263083115565,6.337356436281906,5.883246177434051,1
23,7.209042254610407,6.387897145921967,8.030187363298847,7.101832240278826,0
24,2.7267463542837533,1.650940361163532,3.8025523474039735,3.4948503600459393,3
25,6.640604056231243,5.660657828756625,7.620550283705864,7.5987986201237945,0
26,3.15401827560321,2.765895535330708,3.5421410158757105,3.754732146161495,3
27,7.468895707466823,6.678129012465812,8.259662402467823,8.304683788293165,0
28,7.854553310549106,6.902167574030003,8.806939047068214,8.171707928430415,0
29,7.366990466601538,6.964222558142639,7.769758375060439,7.743835632702778,0
30,5.407374488395561,4.7760982266995695,6.038650750091555,5.6589372215961,1
31,5.826797920903231,5.373821962178655,6.279773879627812,5.460304134450128,1
32,3.1447296043070434,2.727290096529364,3.56216911208472,3.7298423268889853,3
33,6.810169228120234,6.202555720634888,7.417782735605582,6.040062391745973,1
34,7.462069393057958,6.839023438076567,8.085115348039347,7.84030390621518,0
35,4.594031283916212,4.129739507409317,5.058323060423106,4.89314299058059,2
36,6.723524333283632,5.867902711156383,7.57914595541088,6.172603794780385,1
37,4.718789093281664,4.2375977267859675,5.199980459777361,4.443523110905624,2
38,4.737286807838436,4.358183860301133,5.11638975537574,5.473492098093178,2
39,3.0077091177820896,2.022988135383879,3.9924301001802984,2.873527788957964,3
40,4.59807089095709,3.968599206373608,5.227542575540572,4.414134056542707,2
41,5.829265043850311,4.983072695324101,6.675457392376521,5.891795771994874,1
42,6.416594862766465,5.7302317308416315,7.102957994691299,6.335808238421908,1
43,6.569354262168846,5.891495403732676,7.247213120605015,5.995168242922295,1
44,6.267333869843918,5.258152108654691,7.276515631033146,5.912358567053788,1
45,6.696259105571471,5.802098539970941,7.590419671172009,8.019433486996459,0
46,6.781739583938174,6.2914917659460405,7.271987401930307,7.745445452301214,0
47,3.2241198501014083,2.6575320544386773,3.79070764576414,4.110568728640966,3
48,2.7495660554328603,1.8716761150621473,3.6274559958035724,3.039554420323116,3
49,6.801254933102416,5.784227128497991,7.818282737706843,7.993391542530188,0
50,3.0547333480053216,2.0687959789388755,4.040670717071771,3.6167637528440277,3
51,4.3814858266026375,3.6341948853318966,5.12877676787338,5.7080571496650325,2
52,7.241568255099369,6.50457458376174,7.978561926437007,8.054242649959608,0
53,2.9678524707183582,2.330111349645459,3.6055935917912585,3.273094093029034,3
54,2.845146223541666,2.3008018698427235,3.3894905772406103,3.102842843030887,3
55,3.9473748840642835,3.403152243919232,4.491597524209334,4.370142881023919,2
56,4.330297624751559,3.6970452667703055,4.963549982732812,5.015004404455168,2
57,6.832942678244149,6.168581550377732,7.497303806110568,5.659361251995813,1
58,4.852721999814425,4.368540461679106,5.336903537949746,5.164403834383981,2
59,4.397816118675287,3.9161272988088167,4.879504938541757,5.12144128167503,2
60,4.411504748421777,3.9751553130046986,4.847854183838855,4.6764367195443235,2
61,6.476376107188853,5.944520068751109,7.008232145626602,6.6427976102935435,1
62,4.363589517806474,3.6054475242275528,5.121731511385396,4.763531814760989,2
63,4.691176046257192,4.080233106488651,5.302118986025736,3.8900248910064725,2
64,4.534074714629853,3.8972820261251604,5.170867403134545,4.569181841429382,2
65,7.137068853943797,6.4976933763468026,7.7764443315407945,7.290329719778699,0
66,5.510608974030151,4.763366426484397,6.257851521575904,6.325295445304684,1
67,7.266496714021196,6.853640779897783,7.679352648144612,7.530116855906454,0
68,4.361836180712836,3.546374270126676,5.177298091298996,5.066698409547942,2
69,7.22279780003563,6.345621871359778,8.099973728711486,7.303723235327346,0
70,3.2264244999044656,2.4506896983407747,4.002159301468158,2.990435243303125,3
71,4.457663415283041,3.991546837906472,4.92377999265961,4.723535485544423,2
72,6.13634712302776,5.386817257366042,6.885876988689473,6.469707078685218,1
73,4.668611166071438,4.010147537852491,5.327074794290386,4.713635480401898,2
74,7.550063362005751,6.796454804782411,8.303671919229096,8.95027265735754,0
75,7.119489621302931,6.560276871920502,7.67870237068535,7.971912104155828,0
76,6.825755512462995,5.949389762272347,7.702121262653642,7.8690458015152585,0
77,4.281533155988322,3.7930883251327723,4.7699779868438705,4.872842472356039,2
78,3.198157482037962,2.2334655005925246,4.162849463483401,2.8515478705754234,3
79,7.124954646543803,6.304338600788346,7.9455706922992615,7.6662995871610855,0
80,4.225140681186202,3.8642244353174706,4.586056927054934,4.501452086204262,2
81,7.495485959803959,6.7893184079396285,8.20165351166829,6.952139233052021,0
82,6.430206649365335,5.523610372726672,7.336802926003996,5.710945801449483,1
83,4.581420518208407,4.269212636230742,4.8936284001860715,5.089360269637605,2
84,4.675932498766008,3.974476435320982,5.37738856221104,5.200681683850703,2
85,3.204100541585077,2.3782514805583803,4.029949602611774,3.3530358724553664,3
86,4.167082304363978,3.5909870908083423,4.743177517919614,4.479224374510181,2
87,5.625504350932799,4.977036136014259,6.273972565851338,6.1512935570340606,1
88,7.589735518061675,6.707758267261812,8.471712768861536,7.86782234312426,0
89,5.662484238907178,4.992612677997636,6.332355799816721,6.312387629490674,1
90,3.2293879869156714,2.334179229406083,4.12459674442526,3.6711148339417337,3
91,3.96454126993187,3.3525353499361397,4.576547189927599,4.358598659570668,2
92,6.485550899250454,5.387502401317718,7.5835993971831845,6.178158849918328,1
93,6.896121738474126,6.0838351149349075,7.708408362013343,7.564594744994128,0
94,7.28109808570689,6.51390159523104,8.048294576182741,7.25280814734134,0
95,4.3216407117871745,3.7994155196144384,4.843865903959912,4.272629280385241,2
96,5.844150440310234,5.470976791666017,6.217324088954445,6.0328623125378344,1
97,3.4390983198098892,2.6571741949416783,4.221022444678099,3.1611586877082196,3
98,6.208135915703685,5.195733791985038,7.220538039422333,6.210646491862368,1
99,4.2615304481342955,3.2972688844915825,5.22579201177701,4.584363020914604,2
100,7.138576683217287,6.641005434810195,7.636147931624384,7.090954000125615,0
101,7.440552279326421,6.907849453805924,7.973255104846905,7.996426846816353,0
102,6.1177701481899875,5.301712100065873,6.933828196314102,6.448176554181728,1
103,6.655334717192978,5.782348069020698,7.528321365365257,6.411024630892854,0
104,2.9436814144033483,2.356638652602997,3.5307241762037016,2.3470542236844367,3
105,4.2267219235289994,3.5488939825147323,4.904549864543274,3.605062915725346,2
106,5.503272475846662,5.086039155968704,5.920505795724617,6.358366569219196,1
107,6.244056452686266,5.5793274973034155,6.908785408069116,6.481405686025935,1
108,6.8888998617595485,6.069755063599928,7.7080446599191665,6.368180031311207,1
109,4.19661723850271,3.580984812972093,4.8122496640333265,4.830673995981592,2
110,7.096773526181323,6.6617347451020485,7.531812307260599,7.522556136579573,0
111,6.07147142600395,5.488269065559987,6.654673786447912,6.057243035348209,1
112,7.159021316815423,6.238397918500776,8.079644715130073,7.65394010929213,0
113,2.8016585830583587,2.3382237756947855,3.2650933904219324,3.18845634126634,3
114,6.40273372221538,5.9140734428081245,6.891394001622636,5.815378109689008,1
115,3.9244223846389374,2.93060939091539,4.9182353783624855,4.502050475441825,2
116,2.764425213660222,2.0749712249042327,3.4538792024162124,3.320554651482039,3
117,5.449776376687458,4.826614750034102,6.0729380033408145,6.259107311921329,1
118,7.0528416001520275,6.524411013913935,7.581272186390113,7.183215403947742,0
119,6.78718463055885,6.152951692785864,7.421417568331837,5.41372281256195,1
120,4.226170566561161,3.849114132533939,4.603227000588383,4.151933756170026,2
121,5.709948124890424,5.392395659285063,6.02750059049578,5.999780310072261,1
122,7.447330285672347,6.494297433207823,8.400363138136875,8.090130245895747,0
123,7.519400719729167,6.766472215132837,8.272329224325498,7.653237827156241,0
124,4.319604869074654,3.5426692089647576,5.096540529184552,4.90979421527013,2
125,4.317566737682596,3.5434663120134147,5.091667163351776,4.761168124984088,2
126,7.121901442330461,6.368561564027998,7.875241320632925,7.498282074592692,0
127,4.800315652794135,4.2624267962473334,5.338204509340936,5.501314697026949,2
