shortnam,euro1900,avexpr,logpgp95,cons1,democ00a,cons00a,extmort4,logem4,loghjypl,baseco
EGY,0,6.7727275,7.9515595,1,7,7,67.800003,4.2165623,-1.6766466,1
ERI,0,,6.6200733,,,,,,,
ESP,100,9.681818,9.6184683,,,,,,-.38272566,
EST,100,,8.3938951,,,,,,,
ETH,0,5.7272725,6.1092477,1,5,7,26,3.2580965,,1
FIN,100,9.727273,9.826066,,,,,,-.30924621,
FJI,,,8.3015213,7,0,1,11.4,2.4336133,-1.2982835,
FL,,,,,,,,,,
FRA,100,9.727273,9.9636412,,,,2.8800001,1.0577903,-.20089293,
FRO,,,,,,,,,,
FSM,,,,,,,,,,
GA,,,,,,,,,,
GAB,0,7.818182,8.9078827,2,0,1,280,5.6347895,-1.8515095,1
GBR,100,9.772727,9.87817,,,,2.55,.93609333,-.31882879,
GEO,100,,7.3714895,,,,,,,
GHA,0,6.2727275,7.36518,1,0,1,668,6.5042882,-2.9565115,1
GIN,0,6.5454545,7.4899707,1,0,1,483,6.1800165,-3.1465552,1
GLP,,,,,,,,,,
GMB,0,8.272727,7.2723985,7,0,1,1470,7.2930179,-3.0365543,1
GNB,0,4.5454545,,3,0,1,164.66,5.1038828,-3.2441936,
GNQ,,,,,,,,,,
GRC,100,7.818182,9.3976498,,,,,,-.7571525,
GRD,10,,8.4184771,,,,85,,,
GRL,,,,,,,,,,
GTM,20,5.1363635,8.2940493,1,0,1,71,4.2626801,-1.5606477,1
GUF,,,,,,,,,,
GUM,,,,,,,,,,
GUY,2,5.8863635,7.9047041,7,0,1,32.18,3.4713452,-2.2537949,1
HKG,4,8.136364,10.04975,,,,14.9,2.7013612,-.49758044,1
HND,20,5.318182,7.6870804,3,6,5,78.099998,4.3579903,-2.040221,1
HRV,100,,8.4184771,,,,,,,
HTI,0,3.7272727,7.1467724,1,0,1,130,4.8675346,-2.8647039,1
HUN,100,9,8.8098631,,,,,,-1.1809075,
IA,,,,,,,,,,
IDN,0,7.590909,8.0709057,1,0,1,170,5.1357985,-2.2072749,1
IL,,,,,,,,,,
IMY,,,,,,,,,,
IN,,,,,,,,,,
IND,0,8.272727,7.3260002,7,0,1,48.630001,3.8842406,-2.453408,1
IRL,,9.727273,9.7693844,,,,,,-.54991299,
IRN,0,4.7727275,8.6052036,,,,,,-1.22078,
IRQ,0,1.6363636,,,,,,,,
ISL,100,9.727273,9.9436693,,,,,,-.31471071,
ISR,0,8.545455,9.7841406,,,,,,-.41703176,
ITA,100,9.454545,9.8979721,,,,,,-.18152189,
JAM,1.9,7.090909,8.1886892,7,0,1,130,4.8675346,-2.040221,1
JAP,,,,,,,,,,
JOR,0,6.7727275,8.1718817,,,,,,-.87707001,
JPN,0,9.727273,10.034077,,,,,,-.53273046,
KAZ,,,8.1315308,,,,,,,
KEN,0,6.0454545,7.0561752,5,0,1,145,4.9767337,-2.8824036,1
KGZ,,,7.5755849,,,,,,,
KHM,,,7.1228666,,,,,,,
KIR,,,,,,,,,,
KNA,10,,8.8901348,,,,85,,,
KOR,0,8.636364,9.4157276,,,,118,4.7706847,-.96758401,
KWT,0,7.0454545,9.8036671,,,,,,,
KY,,,,,,,,,,
LA,,,,,,,,,,
LAO,0,,7.0900769,5,0,1,140,4.9416423,,
LBN,,,8.637639,,,,,,,
LBR,0,3.6363637,,7,1,4,483,6.1800165,,
LBY,0,5.2727275,,3,0,1,,,,
LCA,10,,8.5583353,,,,85,,,
LIE,,,,,,,,,,
LKA,0,6.0454545,7.7319307,7,0,1,69.800003,4.2456341,-1.8643302,1
LSO,0,,7.3065314,7,0,1,,,-2.7646205,
LTU,100,,8.2374792,,,,,,,
LUX,100,10,10.28875,,,,,,-.014098923,
LVA,100,,8.154788,,,,,,,
MA,,,,,,,,,,
MAC,,,,,,,,,,
MAR,1,7.090909,8.0423784,1,1,1,78.199997,4.3592696,-1.6766466,1
MCO,,,,,,,,,,
MD,,,,,,,,,,
MDA,100,,7.377759,,,,,,,
MDG,0,4.4545455,6.8351846,4,0,1,536.03998,6.2842088,-3.1941831,1
MDV,,,8.1167154,,,,,,,
ME,,,,,,,,,,
MEX,15.000001,7.5,8.9437675,3,0,1,71,4.2626801,-.83701754,1
MHL,,,,,,,,,,
MI,,,,,,,,,,
MKD,100,,8.0614872,,,,,,,
MLI,0,4,6.5652652,3,0,1,2940,7.986165,-3.3524072,1
MLT,,7.2272725,9.427063,,,,16.299999,2.7911651,-.77002823,1
MMR,0,5.7727275,,7,0,1,34.599998,3.5438535,-3.5404594,
MNG,0,7.3636365,7.2997975,,,,,,,
MNP,,,,,,,,,,
MO,,,,,,,,,,
MOZ,2.5,6.5,6.4614682,2,0,1,,,-3.2441936,
MRT,0,,7.4145727,5,0,1,280,5.6347895,-2.9957323,
MS,,,,,,,,,,
MTQ,20,,9.54,,,,,,,
MUS,5,,9.0536861,7,0,1,30.5,3.4177268,-1.3394108,
MWI,2.7,6.818182,6.4614682,1,0,1,,,-3.5065579,
MYS,0,7.9545455,8.8942585,7,0,1,17.700001,2.8735647,-1.3205067,1
MYT,,,,,,,,,,
NAM,0,,8.5151911,3,0,1,,,-1.6398971,
NC,,,,,,,,,,
NCL,,,,,,,,,,
NER,0,5,6.7334018,3,0,1,400,5.9914646,-3.5404594,1
NGA,0,5.5454545,6.8134446,7,0,1,2004,7.6029005,-3.0365543,1
NH,,,,,,,,,,
NIC,20,5.2272725,7.544332,1,1,1,163.3,5.0955892,-2.0714734,1
NJ,,,,,,,,,,
NLD,100,10,9.896966,,,,,,-.21567154,
NOR,100,9.954545,10.023933,,,,,,-.2757535,
NPL,0,,6.937314,1,1,1,,,,
NY,,,,,,,,,,
NZL,93,9.727273,9.7561474,7,10,7,8.5500002,2.1459312,-.33267942,1
OAN,,,,,,,,,,
OH,,,,,,,,,,
OMN,0,7.1363635,9.2083387,,,,,,-.85802186,
PA,,,,,,,,,,
PAK,0,6.0454545,7.3524413,1,0,1,36.990002,3.6106477,-2.0557249,1
PAN,20,5.909091,8.8363743,3,0,1,163.3,5.0955892,-1.5005835,1
PER,30.000002,5.7727275,8.3961544,1,4,3,71,4.2626801,-1.4396951,1
PHL,1,5.4545455,8.0986433,3,0,1,,,-2.0714734,
PLW,,,,,,,,,,
PNG,0,7.2727275,,7,0,1,170,5.1357985,-2.5510464,
POL,100,7.681818,8.6552143,,,,,,-1.4354845,
POR,,,,,,,,,,
PRI,,,,,,,,,-.34108281,
PRK,0,,,,,,,,,
PRT,100,9.181818,9.4894857,,,,,,-1.0051219,
PRY,25,6.9545455,8.2079468,1,1,2,78.099998,4.3579903,-1.7719568,1
PYF,,,,,,,,,,
QAT,0,7.7272725,9.6853313,,,,,,,
REU,,,,,,,,,-1.4439235,
RI,,,,,,,,,,
ROM,100,7.2727275,8.387085,,,,,,-2.1803675,
RUS,100,8.454545,8.4051437,,,,,,-.87466908,
RWA,0,,6.4769726,1,0,1,280,5.6347895,-3.1465552,
SAU,0,7.590909,9.2398996,,,,,,-.638659,
SC,,,,,,,,,,
SDN,0,4,7.3065314,7,0,1,88.199997,4.4796071,-2.7030625,1
SEN,0,6,7.4024515,3,0,1,164.66,5.1038828,-2.6310892,1
SGP,4,9.318182,10.146434,7,0,1,17.700001,2.8735647,-.50087529,1
SLB,,,7.7997532,,,,,,,
SLE,0,5.818182,6.253829,,,,483,6.1800165,-2.748872,1
SLV,20,5,7.9480319,3,,3,78.099998,4.3579903,-1.8515095,1
SOM,0,3,,7,0,1,,,-3.0159349,
STP,100,8.409091,,,,,,,,
SUR,1,4.681818,8.0100002,,,1,32.18,3.4713452,-1.3704209,
SVK,100,,8.8522358,,,,,,,
SVN,,,9.3001814,,,,,,,
SWE,100,9.5,9.8663044,,,,,,-.23952703,
SWZ,0,,8.1077204,2,0,1,,,-1.8078889,
SYC,0,,,,,,,,-1.5371172,
SYR,0,5.818182,8.0294333,,,,,,-.82553637,
TCD,0,,6.8351846,1,0,1,280,5.6347895,-3.4420192,
TGO,0,6.909091,7.2225661,3,0,1,668,6.5042882,-3.2188759,1
THA,0,7.6363635,8.774931,,,,140,4.9416423,-1.8515095,
TJK,,,6.8875527,,,,,,,
TKM,,,7.6401234,,,,,,,
TN,,,,,,,,,,
TOG,,,,,,,,,,
TON,,,,,,,,,,
TTO,40,7.4545455,8.7687302,7,0,1,85,4.4426513,-.69715524,1
TUN,3,6.4545455,8.4826021,1,0,1,63,4.1431346,-1.5278579,1
TUR,0,7.4545455,8.6411791,,,,,,-1.5232602,
TWN,0,9.227273,,,,,,,-.809681,
TX,,,,,,,,,,
TZA,0,6.6363635,6.253829,3,0,1,145,5.6347895,-3.4420192,1
UGA,0,4.4545455,6.9660244,7,0,1,280,5.6347895,-3.4420192,1
UKR,100,,7.8119736,,,,,,,
URY,60.000004,7,9.0312138,1,1,1,71,4.2626801,-1.0788096,1
USA,87.5,10,10.21574,7,10,7,15,2.7080503,0,1
UZB,,,7.8079166,,,,,,,
VA,,,,,,,,,,
VCT,10,,8.3187418,,,,85,,,
VEN,20,7.1363635,9.0710783,1,1,3,78.099998,4.3579903,-.70319748,1
VIR,,,,,,,,,,
VNM,0,6.409091,7.2793188,1,0,1,140,4.9416423,,1
VT,,,,,,,,,,
VUT,,,8.140316,,,,,,,
WBG,,,,,,,,,,
WI,,,,,,,,,,
WSH,,,,,,,,,,
WSM,,,7.8671055,,,,,,,
YEM,0,6.3636365,6.6463904,,,,,,-1.551169,
YUG,100,6.318182,,,,,,,,
YUG,100,6.318182,,,,,,,-1.2039728,
ZAF,22,6.8636365,8.885994,3,3,3,15.5,2.74084,-1.3862944,1
ZAR,8,3.5,6.8669333,1,0,1,240,5.480639,-3.4112477,1
ZMB,3,6.6363635,6.8134446,3,0,1,,,-2.9759297,
ZWE,7.1999998,6,7.6962128,7,0,1,,,-2.7333682,
ZWE,7.1999998,,,7,0,1,,,,
notIndonesia,,,,,,,,,,
