work_from_home,productivity,introversion,num_children,subway_disruption
1,57.05509493920073,5.457075619631647,1,0
1,53.143761547662464,3.440023840639257,2,0
1,52.648568053311934,6.125676793709686,1,1
0,53.79791708933463,6.410847074586821,3,0
1,49.63138258419304,2.0734472170192455,0,1
0,51.92199872295469,3.046730739706523,2,0
0,55.460214351361564,5.191760604750928,0,0
0,55.77134826435347,4.525636111484626,0,0
1,54.29506241139304,4.974798263743566,1,0
0,53.47252657568353,3.7204341086396298,2,1
0,51.24758648916246,6.319096962294243,4,0
1,56.86661323745021,6.166687903143423,2,1
1,56.42839270923329,5.099046046341824,0,1
1,54.252174253788525,6.690861810452049,1,0
1,56.621736497855835,5.7012640133780685,0,1
1,56.148291464661305,3.7110613056751425,0,0
1,55.099792789262295,5.553126176123748,1,0
0,50.70431562122402,3.5616760987565015,1,0
1,55.40965197170054,6.317675451960909,2,1
1,55.0449904005845,4.925111133520621,2,1
1,52.11812626251415,4.722706454682109,2,1
1,51.16759666905923,3.978605683394088,2,1
1,57.01029429012077,6.833812008011045,1,0
1,56.46120052506746,4.768205776896797,0,1
1,58.78552130889073,4.357508266755339,0,1
1,55.90889298412038,4.471799674267656,0,1
1,53.22060762071192,5.7984637783300235,0,0
1,58.51809995388694,5.548166096546118,2,1
1,57.10525342987401,5.619098917393982,1,0
1,51.00644296027256,5.6462315045118245,1,1
1,55.00939709650744,8.212471401305692,1,1
1,52.02918513852859,4.390377475423077,3,1
0,54.56150510943707,4.231635906392694,1,0
1,47.26456279726674,3.7793409076281836,4,0
1,54.50095047491773,5.923969133863244,2,1
1,57.91686446217601,6.693458439081337,0,1
0,48.19503821979592,4.829078813517687,0,1
1,54.985329066221695,3.739765284556208,1,1
0,54.74450944495426,3.7632781764631407,0,0
0,53.08740627229307,5.975889181737052,0,1
1,53.08533046878593,6.114881256805163,1,0
0,52.927198010317184,5.8147314024577925,0,0
1,48.357192582756106,4.001735439066959,1,0
1,53.126213799438666,5.3482419846000795,3,0
1,55.07921548247481,5.175028713711092,1,0
1,52.323752721488596,5.32803289509352,1,1
0,56.98981369865468,6.307143166922285,0,0
1,54.973449019840345,5.335393323162023,1,1
0,55.33473177199318,6.018370344607843,0,0
1,53.77710155761804,5.101368604233337,1,1
0,55.833031174472765,5.433679098034976,0,0
1,58.33866724271802,5.946932338757811,0,1
0,51.43637573123118,2.8142662702165,0,0
1,55.63845808216115,4.520493175464048,1,0
1,54.97960773050479,4.294441018560807,2,0
0,53.06908780179104,4.041683227634987,2,0
1,58.02393768674101,4.587286623159974,0,0
1,54.34095022807999,7.242411966851594,2,0
1,52.61790603109421,3.7012533264601353,1,0
1,54.108015272784776,6.452417531887221,1,1
0,52.43059956354312,2.4756953425762926,2,0
1,54.053165434518014,4.497672455021338,0,0
1,52.80380540023231,5.244129597657508,2,0
0,57.529762051120215,5.8793334970389175,1,0
1,57.97248352387293,6.066839869689282,3,0
1,54.794630869716755,6.190020852799888,1,1
