state,year,cigsale,lnincome,beer,age15to24,retprice,prepost
California,1970,123,NA,NA,0.17815832793712616,38.79999923706055,Pre
California,1971,121,NA,NA,0.1792963594198227,39.70000076293945,Pre
California,1972,123.5,9.930813789367676,NA,0.18043439090251923,39.900001525878906,Pre
California,1973,124.4000015258789,9.955092430114746,NA,0.18157240748405457,39.900001525878906,Pre
California,1974,126.69999694824219,9.947999000549316,NA,0.1827104389667511,41.900001525878906,Pre
California,1975,127.0999984741211,9.937167167663574,NA,0.18384847044944763,45,Pre
California,1976,128,9.976858139038086,NA,0.18498650193214417,48.29999923706055,Pre
California,1977,126.4000015258789,10.002699851989746,NA,0.1861245334148407,49,Pre
California,1978,126.0999984741211,10.045564651489258,NA,0.18726254999637604,58.70000076293945,Pre
California,1979,121.9000015258789,10.0546875,NA,0.18840058147907257,60.099998474121094,Pre
California,1980,120.19999694824219,10.037840843200684,NA,0.1895386129617691,62.099998474121094,Pre
California,1981,118.5999984741211,10.028626441955566,NA,0.18553705513477325,66.4000015258789,Pre
California,1982,115.4000015258789,10.012530326843262,NA,0.1815354973077774,72.80000305175781,Pre
California,1983,110.80000305175781,10.031737327575684,NA,0.17753393948078156,84.9000015258789,Pre
California,1984,104.80000305175781,10.075359344482422,25,0.1735323816537857,94.9000015258789,Pre
California,1985,102.80000305175781,10.099702835083008,24,0.16953082382678986,98,Pre
California,1986,99.69999694824219,10.127266883850098,24.700000762939453,0.165529265999794,104.4000015258789,Pre
California,1987,97.5,10.13430118560791,24.100000381469727,0.16152770817279816,103.9000015258789,Pre
California,1988,90.0999984741211,10.14166259765625,23.600000381469727,0.1575261503458023,117.4000015258789,Pre
California,1989,82.4000015258789,10.142313003540039,23.700000762939453,0.15352459251880646,126.4000015258789,Post
California,1990,77.80000305175781,10.141622543334961,23.799999237060547,0.1495230346918106,163.8000030517578,Post
California,1991,68.69999694824219,10.110713958740234,22.299999237060547,NA,186.8000030517578,Post
California,1992,67.5,10.114938735961914,21.299999237060547,NA,201.89999389648438,Post
California,1993,63.400001525878906,10.09849739074707,20.799999237060547,NA,205.10000610351562,Post
California,1994,58.599998474121094,10.099508285522461,20.100000381469727,NA,190.3000030517578,Post
California,1995,56.400001525878906,10.155916213989258,19.700000762939453,NA,195.10000610351562,Post
California,1996,54.5,10.17863655090332,19.100000381469727,NA,197.89999389648438,Post
California,1997,53.79999923706055,10.175189971923828,19.5,NA,200.3000030517578,Post
California,1998,52.29999923706055,NA,NA,NA,207.8000030517578,Post
California,1999,47.20000076293945,NA,NA,NA,224.89999389648438,Post
California,2000,41.599998474121094,NA,NA,NA,351.20001220703125,Post
