unit_name,type,pre_mspe,post_mspe,mspe_ratio,rank,fishers_exact_pvalue,z_score
California,Treated,3.209078263764196,386.6703945961697,120.49266574839207,1,0.02564102564102564,5.2846335022666
Georgia,Donor,3.5966168238766465,163.7548909944247,45.530257743142066,2,0.05128205128205128,1.657941402368728
Indiana,Donor,22.942895700119116,765.7015676518291,33.374233909273,3,0.07692307692307693,1.0698312178429643
West Virginia,Donor,9.715524799405252,290.76533958718426,29.927908743023725,4,0.10256410256410256,0.9030975097523689
Wisconsin,Donor,10.70011477113301,252.680143139899,23.614713350700193,5,0.1282051282051282,0.5976642070648688
Missouri,Donor,2.7710795988419483,56.722348865547474,20.469404375555325,6,0.15384615384615385,0.4454937056703983
South Carolina,Donor,10.057820059047813,193.59459010350974,19.24816600087769,7,0.1794871794871795,0.3864100171471413
Tennessee,Donor,10.499417052877575,167.39782928479738,15.943535573617266,8,0.20512820512820512,0.22653152094424267
Texas,Donor,14.195961163435054,223.0470265993614,15.71200597349266,9,0.23076923076923078,0.21533008553136726
Oklahoma,Donor,17.43346263164489,187.2096820297403,10.738525443013302,10,0.2564102564102564,-0.025287619113634547
Virginia,Donor,9.41930463745132,99.06984175714331,10.517744734918104,11,0.28205128205128205,-0.03596902158142394
Illinois,Donor,6.6468873853403565,63.92590486940051,9.617419577528642,12,0.3076923076923077,-0.07952688241501657
New Mexico,Donor,9.85011524061156,85.59012111115703,8.689250736709456,13,0.3333333333333333,-0.12443182466466464
Montana,Donor,7.16759956199858,59.29443384071663,8.272565079540136,14,0.358974358974359,-0.14459113679469768
Louisiana,Donor,6.881292920903031,49.24303001753125,7.156072352035421,15,0.38461538461538464,-0.1986072158159478
Idaho,Donor,11.963334473135374,64.39589618400116,5.3827715281727935,16,0.41025641025641024,-0.28439976517208065
Rhode Island,Donor,173.21339947814494,890.1993952816423,5.139321772816788,17,0.4358974358974359,-0.2961778994125103
North Carolina,Donor,204.49605722668932,951.0065304185833,4.650488343471421,18,0.46153846153846156,-0.31982773115549096
Maine,Donor,17.299957964571256,71.525341823685,4.13442286797242,19,0.48717948717948717,-0.34479505321498494
Nevada,Donor,118.85718652933795,490.14960723042714,4.123853353279919,20,0.5128205128205128,-0.3453064078586667
South Dakota,Donor,9.023587898331861,36.946072506669275,4.094388276918019,21,0.5384615384615384,-0.3467319324983915
Nebraska,Donor,5.763224364173178,23.08894341671322,4.006254478004464,22,0.5641025641025641,-0.3509958583881707
Minnesota,Donor,17.245587468669463,68.26016719209949,3.9581236253105105,23,0.5897435897435898,-0.3533244359762103
Mississippi,Donor,5.583961445697285,21.661954384056628,3.8793166096711182,24,0.6153846153846154,-0.3571371307473801
Delaware,Donor,233.2519738800238,887.1977789093502,3.8036024482506288,25,0.6410256410256411,-0.3608001927858201
Iowa,Donor,15.882287295596745,49.91167206116074,3.1425997485260457,26,0.6666666666666666,-0.3927795986359419
Arkansas,Donor,11.145103216642365,23.82825076128951,2.138001802056719,27,0.6923076923076923,-0.44138219202886986
Kentucky,Donor,578.1610128813782,1112.2564038628104,1.923783131483847,28,0.717948717948718,-0.451746122175869
Vermont,Donor,103.7206631857963,177.19108947118187,1.7083489830158234,29,0.7435897435897436,-0.462168857318562
Pennsylvania,Donor,5.053407781997307,6.279961380129595,1.2427181124194782,30,0.7692307692307693,-0.484696145926234
Connecticut,Donor,33.10893214636631,37.65842889810606,1.1374099512369522,31,0.7948717948717948,-0.4897909699370727
Kansas,Donor,14.921661937780375,16.9353274491932,1.1349491443921802,32,0.8205128205128205,-0.4899100241267765
Alabama,Donor,8.385282920233644,9.446241648183028,1.1265262887420644,33,0.8461538461538461,-0.4903175230966964
Colorado,Donor,47.16635281040125,47.71955292131353,1.0117287023047135,34,0.8717948717948718,-0.4958714468686025
North Dakota,Donor,18.68493402567921,13.772364512053484,0.7370839251091683,35,0.8974358974358975,-0.5091588007602162
Ohio,Donor,22.874570779525694,16.858782068891788,0.737009766495009,36,0.9230769230769231,-0.5091623885646541
Utah,Donor,593.765135976356,223.27647195572948,0.3760349983981216,37,0.9487179487179487,-0.526626399854523
Wyoming,Donor,112.71740141279703,23.039773169521293,0.2044029837517665,38,0.9743589743589743,-0.5349299814519005
New Hampshire,Donor,3485.934543862772,312.45185673106477,0.08963216400065738,39,1,-0.5404826102476696
