district_id,country_id,year,treatment,mining,price_index,exec_constraints,quality_of_govt,gdp_pc,elevation,temperature,ruggedness,distance_capital,agri_suitability,population,ethnic_frac,ntl_log,conflict
1,1,2003,0,0,0.0,6.0,0.7,5000.0,591.4151239263294,19.840063575038016,40.009023916129145,351710.3342390883,0.009792962269232708,16282.081589367624,0.7327977913932471,-1.0762857696234183,0
1,1,2004,0,0,0.0,6.0,0.7,5000.0,591.4151239263294,19.840063575038016,40.009023916129145,351710.3342390883,0.009792962269232708,16282.081589367624,0.7327977913932471,-1.1909980456279419,0
1,1,2005,0,0,0.0,6.0,0.7,5000.0,591.4151239263294,19.840063575038016,40.009023916129145,351710.3342390883,0.009792962269232708,16282.081589367624,0.7327977913932471,-0.6356211071597968,0
1,1,2006,0,0,0.0,6.0,0.7,5000.0,591.4151239263294,19.840063575038016,40.009023916129145,351710.3342390883,0.009792962269232708,16282.081589367624,0.7327977913932471,-0.959688451523274,0
1,1,2007,0,0,0.0,6.0,0.7,5000.0,591.4151239263294,19.840063575038016,40.009023916129145,351710.3342390883,0.009792962269232708,16282.081589367624,0.7327977913932471,0.031044619200087054,0
1,1,2008,0,0,0.0,6.0,0.7,5000.0,591.4151239263294,19.840063575038016,40.009023916129145,351710.3342390883,0.009792962269232708,16282.081589367624,0.7327977913932471,-0.9753565837022385,0
1,1,2009,0,0,0.0,6.0,0.7,5000.0,591.4151239263294,19.840063575038016,40.009023916129145,351710.3342390883,0.009792962269232708,16282.081589367624,0.7327977913932471,-0.9881838067944614,0
1,1,2010,0,0,0.0,6.0,0.7,5000.0,591.4151239263294,19.840063575038016,40.009023916129145,351710.3342390883,0.009792962269232708,16282.081589367624,0.7327977913932471,-0.5163035091457586,0
1,1,2011,0,0,0.0,6.0,0.7,5000.0,591.4151239263294,19.840063575038016,40.009023916129145,351710.3342390883,0.009792962269232708,16282.081589367624,0.7327977913932471,-0.231509818307295,0
1,1,2012,0,0,0.0,6.0,0.7,5000.0,591.4151239263294,19.840063575038016,40.009023916129145,351710.3342390883,0.009792962269232708,16282.081589367624,0.7327977913932471,-0.5676907738133133,0
2,1,2003,0,0,0.0,6.0,0.7,5000.0,405.1272222969253,23.932795369982845,7.9391214485284,191691.0318739648,0.5555583870857896,63961.12126785649,0.775933129289581,-0.7983098465123739,0
2,1,2004,0,0,0.0,6.0,0.7,5000.0,405.1272222969253,23.932795369982845,7.9391214485284,191691.0318739648,0.5555583870857896,63961.12126785649,0.775933129289581,-1.3722573059238699,0
2,1,2005,0,0,0.0,6.0,0.7,5000.0,405.1272222969253,23.932795369982845,7.9391214485284,191691.0318739648,0.5555583870857896,63961.12126785649,0.775933129289581,-1.050748337982134,0
2,1,2006,0,0,0.0,6.0,0.7,5000.0,405.1272222969253,23.932795369982845,7.9391214485284,191691.0318739648,0.5555583870857896,63961.12126785649,0.775933129289581,-1.1197743838435843,0
2,1,2007,0,0,0.0,6.0,0.7,5000.0,405.1272222969253,23.932795369982845,7.9391214485284,191691.0318739648,0.5555583870857896,63961.12126785649,0.775933129289581,-1.2951319140461628,0
2,1,2008,0,0,0.0,6.0,0.7,5000.0,405.1272222969253,23.932795369982845,7.9391214485284,191691.0318739648,0.5555583870857896,63961.12126785649,0.775933129289581,-0.7621253930532208,0
