state,state_id,year,cigsale,retprice,treatment
Alabama,1,1970,89.80000305175781,39.599998474121094,0
Alabama,1,1971,95.4000015258789,42.70000076293945,0
Alabama,1,1972,101.0999984741211,42.29999923706055,0
Alabama,1,1973,102.9000015258789,42.099998474121094,0
Alabama,1,1974,108.1999969482422,43.099998474121094,0
Alabama,1,1975,111.6999969482422,46.599998474121094,0
Alabama,1,1976,116.1999969482422,50.400001525878906,0
Alabama,1,1977,117.0999984741211,50.099998474121094,0
Alabama,1,1978,123,55.099998474121094,0
Alabama,1,1979,121.4000015258789,56.79999923706055,0
Alabama,1,1980,123.1999969482422,60.599998474121094,0
Alabama,1,1981,119.5999984741211,68.80000305175781,0
Alabama,1,1982,119.0999984741211,73.0999984741211,0
Alabama,1,1983,116.3000030517578,84.4000015258789,0
Alabama,1,1984,113,90.8000030517578,0
Alabama,1,1985,114.5,99,0
Alabama,1,1986,116.3000030517578,103,0
Alabama,1,1987,114,110,0
Alabama,1,1988,112.0999984741211,114.4000015258789,0
Alabama,1,1989,105.5999984741211,122.3000030517578,0
Alabama,1,1990,108.5999984741211,139.10000610351562,0
Alabama,1,1991,107.9000015258789,144.39999389648438,0
Alabama,1,1992,109.0999984741211,172.1999969482422,0
Alabama,1,1993,108.5,176.1999969482422,0
Alabama,1,1994,107.0999984741211,154.60000610351562,0
Alabama,1,1995,102.5999984741211,155.10000610351562,0
Alabama,1,1996,101.4000015258789,158.3000030517578,0
Alabama,1,1997,104.9000015258789,167.39999389648438,0
Alabama,1,1998,106.1999969482422,180.5,0
Alabama,1,1999,100.6999969482422,195.6000061035156,0
Alabama,1,2000,96.1999969482422,270.70001220703125,0
Arkansas,2,1970,100.3000030517578,36.70000076293945,0
Arkansas,2,1971,104.0999984741211,38.79999923706055,0
Arkansas,2,1972,103.9000015258789,44.099998474121094,0
Arkansas,2,1973,108,45.099998474121094,0
Arkansas,2,1974,109.6999969482422,45.5,0
Arkansas,2,1975,114.8000030517578,48.599998474121094,0
Arkansas,2,1976,119.0999984741211,50.900001525878906,0
Arkansas,2,1977,122.5999984741211,52.599998474121094,0
Arkansas,2,1978,127.3000030517578,56.5,0
Arkansas,2,1979,126.5,58.400001525878906,0
Arkansas,2,1980,131.8000030517578,61.5,0
Arkansas,2,1981,128.6999969482422,64.69999694824219,0
Arkansas,2,1982,127.4000015258789,72.0999984741211,0
Arkansas,2,1983,128,82,0
Arkansas,2,1984,123.0999984741211,93.5999984741211,0
Arkansas,2,1985,125.8000030517578,98.5,0
Arkansas,2,1986,126,103.5999984741211,0
Arkansas,2,1987,122.3000030517578,113,0
Arkansas,2,1988,121.5,119.9000015258789,0
Arkansas,2,1989,118.3000030517578,127.6999969482422,0
Arkansas,2,1990,113.0999984741211,141.1999969482422,0
Arkansas,2,1991,116.8000030517578,146.5,0
Arkansas,2,1992,126,177.3000030517578,0
