kecamatan_id,kecamatan_name,district_name,province,flooded,share_pop_flooded,share_area_flooded,flood_intensity_quintile,area_km2,n_pixels,latitude,longitude,year,post,period,avg_luminosity,nl_sum,nl_log,nl_growth
KEC_001,BandaAceh_Kec_01,Banda Aceh,Aceh,1,0.4344,0.00377,5,146.8,171,5.5643,95.4237,1999,0,(base year),4.0831,698.2182,6.54853,
KEC_001,BandaAceh_Kec_01,Banda Aceh,Aceh,1,0.4344,0.00377,5,146.8,171,5.5643,95.4237,2000,0,baseline,4.0948,700.2071,6.55138,0.00284
KEC_001,BandaAceh_Kec_01,Banda Aceh,Aceh,1,0.4344,0.00377,5,146.8,171,5.5643,95.4237,2001,0,baseline,3.938,673.3949,6.51233,-0.03904
KEC_001,BandaAceh_Kec_01,Banda Aceh,Aceh,1,0.4344,0.00377,5,146.8,171,5.5643,95.4237,2002,0,baseline,3.8946,665.9694,6.50125,-0.01109
KEC_001,BandaAceh_Kec_01,Banda Aceh,Aceh,1,0.4344,0.00377,5,146.8,171,5.5643,95.4237,2003,0,pre,3.8089,651.3197,6.479,-0.02224
KEC_001,BandaAceh_Kec_01,Banda Aceh,Aceh,1,0.4344,0.00377,5,146.8,171,5.5643,95.4237,2004,0,pre,3.7952,648.9862,6.47541,
KEC_001,BandaAceh_Kec_01,Banda Aceh,Aceh,1,0.4344,0.00377,5,146.8,171,5.5643,95.4237,2005,1,tsunami,3.6562,625.2168,6.4381,-0.03731
KEC_001,BandaAceh_Kec_01,Banda Aceh,Aceh,1,0.4344,0.00377,5,146.8,171,5.5643,95.4237,2006,1,recovery,3.5877,613.4895,6.41916,-0.01894
KEC_001,BandaAceh_Kec_01,Banda Aceh,Aceh,1,0.4344,0.00377,5,146.8,171,5.5643,95.4237,2007,1,recovery,3.6284,620.4513,6.43045,0.01128
KEC_001,BandaAceh_Kec_01,Banda Aceh,Aceh,1,0.4344,0.00377,5,146.8,171,5.5643,95.4237,2008,1,recovery,3.5975,615.1751,6.42191,-0.00854
KEC_001,BandaAceh_Kec_01,Banda Aceh,Aceh,1,0.4344,0.00377,5,146.8,171,5.5643,95.4237,2009,1,postrec,3.5821,612.5316,6.4176,-0.00431
KEC_001,BandaAceh_Kec_01,Banda Aceh,Aceh,1,0.4344,0.00377,5,146.8,171,5.5643,95.4237,2010,1,postrec,3.4971,598.0112,6.39361,-0.02399
KEC_001,BandaAceh_Kec_01,Banda Aceh,Aceh,1,0.4344,0.00377,5,146.8,171,5.5643,95.4237,2011,1,postrec,3.3432,571.6884,6.3486,-0.04502
KEC_001,BandaAceh_Kec_01,Banda Aceh,Aceh,1,0.4344,0.00377,5,146.8,171,5.5643,95.4237,2012,1,postrec,3.3031,564.8335,6.33653,-0.01206
KEC_002,BandaAceh_Kec_02,Banda Aceh,Aceh,1,0.1041,0.00054,2,321.5,374,5.8331,95.3695,1999,0,(base year),0.497,185.871,5.22506,
KEC_002,BandaAceh_Kec_02,Banda Aceh,Aceh,1,0.1041,0.00054,2,321.5,374,5.8331,95.3695,2000,0,baseline,0.5376,201.0531,5.30357,0.07852
KEC_002,BandaAceh_Kec_02,Banda Aceh,Aceh,1,0.1041,0.00054,2,321.5,374,5.8331,95.3695,2001,0,baseline,0.564,210.9526,5.35164,0.04806
KEC_002,BandaAceh_Kec_02,Banda Aceh,Aceh,1,0.1041,0.00054,2,321.5,374,5.8331,95.3695,2002,0,baseline,0.5983,223.7637,5.4106,0.05896
KEC_002,BandaAceh_Kec_02,Banda Aceh,Aceh,1,0.1041,0.00054,2,321.5,374,5.8331,95.3695,2003,0,pre,0.6346,237.3243,5.46943,0.05884
KEC_002,BandaAceh_Kec_02,Banda Aceh,Aceh,1,0.1041,0.00054,2,321.5,374,5.8331,95.3695,2004,0,pre,0.6933,259.3097,5.55803,0.0886
KEC_002,BandaAceh_Kec_02,Banda Aceh,Aceh,1,0.1041,0.00054,2,321.5,374,5.8331,95.3695,2005,1,tsunami,0.7301,273.051,5.60966,0.05164
KEC_002,BandaAceh_Kec_02,Banda Aceh,Aceh,1,0.1041,0.00054,2,321.5,374,5.8331,95.3695,2006,1,recovery,0.7682,287.2887,5.66049,0.05083
KEC_002,BandaAceh_Kec_02,Banda Aceh,Aceh,1,0.1041,0.00054,2,321.5,374,5.8331,95.3695,2007,1,recovery,0.833,311.5561,5.74158,0.08109
KEC_002,BandaAceh_Kec_02,Banda Aceh,Aceh,1,0.1041,0.00054,2,321.5,374,5.8331,95.3695,2008,1,recovery,0.8802,329.1947,5.79665,0.05507
KEC_002,BandaAceh_Kec_02,Banda Aceh,Aceh,1,0.1041,0.00054,2,321.5,374,5.8331,95.3695,2009,1,postrec,0.9441,353.0888,5.86672,0.07007
KEC_002,BandaAceh_Kec_02,Banda Aceh,Aceh,1,0.1041,0.00054,2,321.5,374,5.8331,95.3695,2010,1,postrec,1.0069,376.5659,5.9311,0.06437
KEC_002,BandaAceh_Kec_02,Banda Aceh,Aceh,1,0.1041,0.00054,2,321.5,374,5.8331,95.3695,2011,1,postrec,1.0487,392.2085,5.9718,0.0407
KEC_002,BandaAceh_Kec_02,Banda Aceh,Aceh,1,0.1041,0.00054,2,321.5,374,5.8331,95.3695,2012,1,postrec,1.1264,421.2612,6.04326,0.07146
KEC_003,BandaAceh_Kec_03,Banda Aceh,Aceh,1,0.0384,0.00041,1,118.9,138,5.543,95.1495,1999,0,(base year),1.8924,261.1518,5.56511,
KEC_003,BandaAceh_Kec_03,Banda Aceh,Aceh,1,0.0384,0.00041,1,118.9,138,5.543,95.1495,2000,0,baseline,2.0072,276.9905,5.62399,
KEC_003,BandaAceh_Kec_03,Banda Aceh,Aceh,1,0.0384,0.00041,1,118.9,138,5.543,95.1495,2001,0,baseline,2.0442,282.1027,5.64227,0.01829
KEC_003,BandaAceh_Kec_03,Banda Aceh,Aceh,1,0.0384,0.00041,1,118.9,138,5.543,95.1495,2002,0,baseline,2.1117,291.4114,5.67474,0.03246
KEC_003,BandaAceh_Kec_03,Banda Aceh,Aceh,1,0.0384,0.00041,1,118.9,138,5.543,95.1495,2003,0,pre,2.1854,301.5823,5.70905,0.03431
KEC_003,BandaAceh_Kec_03,Banda Aceh,Aceh,1,0.0384,0.00041,1,118.9,138,5.543,95.1495,2004,0,pre,2.3252,320.8782,5.77106,0.06202
KEC_003,BandaAceh_Kec_03,Banda Aceh,Aceh,1,0.0384,0.00041,1,118.9,138,5.543,95.1495,2005,1,tsunami,2.3819,328.6971,5.79514,0.02407
KEC_003,BandaAceh_Kec_03,Banda Aceh,Aceh,1,0.0384,0.00041,1,118.9,138,5.543,95.1495,2006,1,recovery,2.4425,337.0682,5.82029,0.02515
KEC_003,BandaAceh_Kec_03,Banda Aceh,Aceh,1,0.0384,0.00041,1,118.9,138,5.543,95.1495,2007,1,recovery,2.6125,360.523,5.88756,0.06727
KEC_003,BandaAceh_Kec_03,Banda Aceh,Aceh,1,0.0384,0.00041,1,118.9,138,5.543,95.1495,2008,1,recovery,2.692,371.4936,5.91753,0.02998
KEC_003,BandaAceh_Kec_03,Banda Aceh,Aceh,1,0.0384,0.00041,1,118.9,138,5.543,95.1495,2009,1,postrec,2.8194,389.0796,5.96379,0.04625
KEC_003,BandaAceh_Kec_03,Banda Aceh,Aceh,1,0.0384,0.00041,1,118.9,138,5.543,95.1495,2010,1,postrec,2.895,399.5055,5.99023,0.02644
KEC_003,BandaAceh_Kec_03,Banda Aceh,Aceh,1,0.0384,0.00041,1,118.9,138,5.543,95.1495,2011,1,postrec,2.9134,402.0505,5.99658,0.00635
KEC_003,BandaAceh_Kec_03,Banda Aceh,Aceh,1,0.0384,0.00041,1,118.9,138,5.543,95.1495,2012,1,postrec,3.0444,420.1212,6.04055,0.04397
KEC_004,BandaAceh_Kec_04,Banda Aceh,Aceh,1,0.4389,0.00416,5,109.3,127,5.0132,95.1515,1999,0,(base year),0.0,0.0012,-6.10178,
KEC_004,BandaAceh_Kec_04,Banda Aceh,Aceh,1,0.4389,0.00416,5,109.3,127,5.0132,95.1515,2000,0,baseline,0.0,0.0012,-6.11303,-0.01126
KEC_004,BandaAceh_Kec_04,Banda Aceh,Aceh,1,0.4389,0.00416,5,109.3,127,5.0132,95.1515,2001,0,baseline,0.0,0.0011,-6.15476,-0.04172
KEC_004,BandaAceh_Kec_04,Banda Aceh,Aceh,1,0.4389,0.00416,5,109.3,127,5.0132,95.1515,2002,0,baseline,0.0,0.001,-6.1921,-0.03735
KEC_004,BandaAceh_Kec_04,Banda Aceh,Aceh,1,0.4389,0.00416,5,109.3,127,5.0132,95.1515,2003,0,pre,0.0,0.001,-6.21762,-0.02552
KEC_004,BandaAceh_Kec_04,Banda Aceh,Aceh,1,0.4389,0.00416,5,109.3,127,5.0132,95.1515,2004,0,pre,0.0,0.001,-6.21461,0.00301
KEC_004,BandaAceh_Kec_04,Banda Aceh,Aceh,1,0.4389,0.00416,5,109.3,127,5.0132,95.1515,2005,1,tsunami,0.0,0.0009,-6.25582,-0.04121
KEC_004,BandaAceh_Kec_04,Banda Aceh,Aceh,1,0.4389,0.00416,5,109.3,127,5.0132,95.1515,2006,1,recovery,0.0,0.0008,-6.29262,-0.0368
KEC_004,BandaAceh_Kec_04,Banda Aceh,Aceh,1,0.4389,0.00416,5,109.3,127,5.0132,95.1515,2007,1,recovery,0.0,0.0008,-6.29398,-0.00136
KEC_004,BandaAceh_Kec_04,Banda Aceh,Aceh,1,0.4389,0.00416,5,109.3,127,5.0132,95.1515,2008,1,recovery,0.0,0.0008,-6.32292,-0.02894
KEC_004,BandaAceh_Kec_04,Banda Aceh,Aceh,1,0.4389,0.00416,5,109.3,127,5.0132,95.1515,2009,1,postrec,0.0,0.0008,-6.34014,-0.01722
KEC_004,BandaAceh_Kec_04,Banda Aceh,Aceh,1,0.4389,0.00416,5,109.3,127,5.0132,95.1515,2010,1,postrec,0.0,0.0007,-6.37582,
KEC_004,BandaAceh_Kec_04,Banda Aceh,Aceh,1,0.4389,0.00416,5,109.3,127,5.0132,95.1515,2011,1,postrec,0.0,0.0006,-6.43654,-0.06073
KEC_004,BandaAceh_Kec_04,Banda Aceh,Aceh,1,0.4389,0.00416,5,109.3,127,5.0132,95.1515,2012,1,postrec,0.0,0.0006,-6.46212,-0.02557
KEC_005,BandaAceh_Kec_05,Banda Aceh,Aceh,1,0.1629,0.00133,3,347.6,404,5.7614,95.5057,1999,0,(base year),25.556,10324.6361,9.24229,
KEC_005,BandaAceh_Kec_05,Banda Aceh,Aceh,1,0.1629,0.00133,3,347.6,404,5.7614,95.5057,2000,0,baseline,25.1395,10156.3729,9.22586,-0.01643
KEC_005,BandaAceh_Kec_05,Banda Aceh,Aceh,1,0.1629,0.00133,3,347.6,404,5.7614,95.5057,2001,0,baseline,24.2219,9785.6545,9.18867,-0.03718
KEC_005,BandaAceh_Kec_05,Banda Aceh,Aceh,1,0.1629,0.00133,3,347.6,404,5.7614,95.5057,2002,0,baseline,23.6437,9552.0514,9.16451,-0.02416
KEC_005,BandaAceh_Kec_05,Banda Aceh,Aceh,1,0.1629,0.00133,3,347.6,404,5.7614,95.5057,2003,0,pre,22.9146,9257.4862,9.13319,-0.03132
KEC_005,BandaAceh_Kec_05,Banda Aceh,Aceh,1,0.1629,0.00133,3,347.6,404,5.7614,95.5057,2004,0,pre,22.7967,9209.8515,9.12803,-0.00516
KEC_005,BandaAceh_Kec_05,Banda Aceh,Aceh,1,0.1629,0.00133,3,347.6,404,5.7614,95.5057,2005,1,tsunami,22.0323,8901.0673,9.09393,-0.0341
KEC_005,BandaAceh_Kec_05,Banda Aceh,Aceh,1,0.1629,0.00133,3,347.6,404,5.7614,95.5057,2006,1,recovery,21.2354,8579.1113,9.05709,-0.03684
KEC_005,BandaAceh_Kec_05,Banda Aceh,Aceh,1,0.1629,0.00133,3,347.6,404,5.7614,95.5057,2007,1,recovery,21.007,8486.8343,9.04627,-0.01081
KEC_005,BandaAceh_Kec_05,Banda Aceh,Aceh,1,0.1629,0.00133,3,347.6,404,5.7614,95.5057,2008,1,recovery,20.432,8254.5136,9.01852,-0.02776
KEC_005,BandaAceh_Kec_05,Banda Aceh,Aceh,1,0.1629,0.00133,3,347.6,404,5.7614,95.5057,2009,1,postrec,20.0272,8090.9909,8.99851,-0.02001
