"country","year","treated_unit","adopt_year","treat_ms","gdp_index","trade_index","true_effect_gdp","true_effect_trade"
"C06",2000,0,NA,0,10.845402789899,7.83874858077251,0,0
"C06",2001,0,NA,0,10.4511159542016,8.17495243299769,0,0
"C06",2002,0,NA,0,10.4656862877555,7.78595350137706,0,0
"C06",2003,0,NA,0,9.6212153236065,7.68569174195211,0,0
"C06",2004,0,NA,0,9.79078402280094,8.07306523358622,0,0
"C06",2005,0,NA,0,9.78430081326282,7.35847181546721,0,0
"C06",2006,0,NA,0,10.796241089564,7.75737840194408,0,0
"C06",2007,0,NA,0,10.8692309939612,7.98857681929261,0,0
"C06",2008,0,NA,0,10.5948321325794,7.19976738023583,0,0
"C06",2009,0,NA,0,10.290609093563,6.72422415485423,0,0
"C06",2010,0,NA,0,9.08719920516072,6.40070270393916,0,0
"C06",2011,0,NA,0,9.20592779462195,6.69485750367276,0,0
"C06",2012,0,NA,0,10.9264756160434,7.99449088484709,0,0
"C06",2013,0,NA,0,11.258674362824,8.0982427057145,0,0
"C06",2014,0,NA,0,12.439402849809,8.9716297020455,0,0
"C06",2015,0,NA,0,11.9205440019438,9.07144034404525,0,0
"C06",2016,0,NA,0,11.2905059980246,8.86715033852105,0,0
"C06",2017,0,NA,0,10.6936189831129,8.0135297521277,0,0
"C06",2018,0,NA,0,10.6624012317166,7.80498618151219,0,0
"C06",2019,0,NA,0,10.351787859529,7.27562750526445,0,0
"C06",2020,0,NA,0,11.1432153637339,7.3745125393792,0,0
"C06",2021,0,NA,0,11.7310787403062,7.72280073713001,0,0
"C06",2022,0,NA,0,11.6562699485046,7.7448110532109,0,0
"C06",2023,0,NA,0,11.2379808660156,8.10557224177544,0,0
"C07",2000,0,NA,0,9.51692725727219,7.40679714865817,0,0
"C07",2001,0,NA,0,10.1828342313231,8.38156475936581,0,0
"C07",2002,0,NA,0,9.6304156462831,8.25316875866575,0,0
"C07",2003,0,NA,0,9.87581093789101,8.26096295919567,0,0
"C07",2004,0,NA,0,9.48897371289008,7.73946835135673,0,0
"C07",2005,0,NA,0,10.1625569847761,8.23294076359656,0,0
"C07",2006,0,NA,0,9.15332921471455,7.45521250792009,0,0
"C07",2007,0,NA,0,8.88925703112341,6.61013091154419,0,0
"C07",2008,0,NA,0,8.48926585624007,5.88417353507654,0,0
"C07",2009,0,NA,0,8.05688637109099,5.76558721084183,0,0
"C07",2010,0,NA,0,8.28426508641012,6.21144504987023,0,0
"C07",2011,0,NA,0,8.79366329588655,6.63223181381871,0,0
"C07",2012,0,NA,0,9.65534280851986,7.21807130078052,0,0
"C07",2013,0,NA,0,10.4397051751913,8.5113996807193,0,0
"C07",2014,0,NA,0,10.9215616571342,9.00564815626217,0,0
"C07",2015,0,NA,0,11.2684469866891,9.24742445155008,0,0
"C07",2016,0,NA,0,10.7970177110447,8.63794381260674,0,0
"C07",2017,0,NA,0,10.7727929838007,8.54699179495609,0,0
"C07",2018,0,NA,0,9.8551963687047,7.74124455148787,0,0
