year,country,gdp,ish,sed,pgrw,pop,ipr,opem,gsh,lnlex,polity
1960,1,0.19972949493150657,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,1,0.028650698369861866,-0.4174555011333572,0.20146597208898165,-0.5017124932356548,0.03760070703849197,-0.2556266516875102,0.42965168726531466,-0.0122238733104673,-0.37405263953488577,-0.04719434699990255
1980,1,-0.03459660289041225,0.31571295502594177,0.0379816570105177,0.2769755252216608,0.0070617206209128425,0.07887936414911927,0.36918171821166035,-0.08441450365696054,-0.1378693747034554,0.04951538045891413
1990,1,-0.019547510534245666,0.5314050403705772,-0.19639748475076257,0.4253162718072989,-0.014889049263571125,0.22345401941447907,0.022504410797534402,0.038855986137760076,0.07492187822986737,-0.0961294690940635
2000,1,-0.17423607987671055,-0.4296624942631618,-0.04305014434873655,-0.2005793037933047,-0.029773378395833633,-0.046706731876088106,-0.8213378162745099,0.05778239082966777,0.4370001360084738,0.0938084356350517
1960,2,0.2399682743315068,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,2,0.1809574237698619,0.049030135001725185,5.823640754771958e-4,-0.22345996870799195,0.04120623995826707,0.3749136937803839,0.03431287073468792,0.3247806102871025,0.24478645195430626,-0.5413810543144539
1980,2,0.055231337509588085,0.0886759403020349,0.01088572848776588,0.08093641452122124,0.013123994789797283,0.28428811885343747,0.004592004764554458,-0.10519286797982041,0.018333265844380664,-0.4164320864376633
1990,2,-0.30731285713424694,-0.06853464234833237,-0.07586731994265998,0.08041623252378255,-0.012790037683978961,-0.45858931099673,0.046388151433993,-0.18701431171153254,-0.09209194029755996,0.39805723822048816
2000,2,-0.16884417847671007,-0.06917143295542769,0.0643992273794169,0.06210732166298838,-0.04154019706408535,-0.2006125016370914,-0.08529302693323515,-0.032573430595749686,-0.17102777750112735,0.5597559025316289
1960,3,-0.024099202068493586,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,3,-0.0011911246301381517,0.18142689390226074,0.13816427700565637,0.3656593142554755,0.06035866204818577,-0.10432839599504085,-0.027467953311621218,0.0769346440210219,0.2898693491737572,0.10106166519446314
1980,3,-0.06128915989041106,-0.22362969922719167,0.29515939238594613,-0.21728778411119432,0.02548922070797549,0.23977472949942336,-0.012099618075018803,-0.028004136945836033,-0.024470290670057238,0.2683694936982155
1990,3,0.01732056246575331,0.06010904112825666,-0.11020440177752633,-0.0979218421408179,-0.01937682002369709,-0.010695571415933247,0.046048730054996545,-0.10068755813518804,-0.09962476263761477,0.02388730268232786
2000,3,0.06925892412328905,-0.01790623580332551,-0.32311926761407594,-0.05044968800346333,-0.06647106273246414,-0.12475076208844924,-0.006481158668356302,0.0517570510600025,-0.16577429586608528,-0.39331846157500605
1960,4,-0.22458111286849425,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,4,-0.0979146954301382,-0.054778732393511276,0.0258096078725214,-0.019527810828815495,0.08276102350693976,-0.2878444554979551,-0.3326266289541841,0.40612059567957914,0.26753760766510504,0.10106166519446314
1980,4,0.010772076309588652,0.02391139666024711,-0.2554018449254847,-0.2622184548957225,0.032466028705362776,-0.11354423136324523,-0.037036800650328855,-0.02782928516456179,-0.00778560531556538,0.2683694936982155
1990,4,0.15134905466575388,-0.028589924080053897,0.4380209796267698,-0.13690618571724467,-0.02626863478440744,-0.11957423999729122,0.18928537282089128,-0.2190440441404526,-0.14398378397265477,0.02388730268232786
2000,4,0.16037467732328947,0.05945725981331762,-0.20842874257380783,0.4186524514417833,-0.08895841742789512,0.5209629268584915,0.18037805678362168,-0.15924726637456488,-0.11576821837688467,-0.39331846157500605
1960,5,-0.21607637266849378,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,5,-0.06039948523013838,0.18492091223665197,0.06692067183807626,0.019852946572975094,0.08196434613191123,-0.22164530477147948,-0.6185804967935888,0.16098201582349847,0.3308725832105561,0.10106166519446314
1980,5,0.020602458509588528,-0.07973191875071484,0.011820070850619313,-0.14250898084670038,0.032298986509124133,0.21337859807084125,-0.08230572877003206,0.05278087429712114,-0.001192623237438295,0.2683694936982155
1990,5,0.1322497008657535,-0.21144545876724102,-0.040362310154226755,-0.16550978824429774,-0.02551486190115798,-0.2276444507014653,0.17800416599395685,-0.07065611253600308,-0.1436584841223254,0.02388730268232786
2000,5,0.12362369852328992,0.10625646528130406,-0.03837843253446899,0.28816582251802325,-0.08874847073987746,0.23591115740210356,0.5228820595696635,-0.14310677758461648,-0.1860214758507921,-0.39331846157500605
1960,6,0.2922989075315061,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,6,0.15146628896986192,0.002490186073904721,0.31265271326854926,-0.649384683618763,0.07714778574569275,0.040643920397960526,-0.28574942451897734,0.42419057850770536,-0.24667803590576365,0.009284133836046315
1980,6,-0.056582444290411704,-0.1989599484706257,0.13889063219869668,-0.1719705972650336,0.027957972407095966,0.0919628623792696,0.360405882683754,-0.04001618960484432,-0.07916474319644728,-0.19051816309386838
1990,6,-0.17148298493424674,0.2564521121696792,-0.19826616947646958,0.17844107227328254,-0.025146451638754563,-0.26637917989893256,0.21858402508951602,-0.4233207971060806,0.13130219465953386,-0.5761965561996278
2000,6,-0.21569976727671003,-0.059982349772958576,-0.25327717599077615,0.6429142086105142,-0.07995930651403416,0.13377239712170252,-0.29324048325429264,0.03914640820321935,0.19454058444267752,0.7574305854574495
1960,7,0.3295297141315066,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,7,0.09116512856986231,0.14124384811115298,0.6062698007952645,-0.07339026674218849,0.07430486612885617,-0.20679330243190314,0.16899067422397795,-0.22979909534089596,-0.25110062266138666,-0.573150199784675
1980,7,0.0463227253095882,-0.021095691890599455,0.14286158724082398,0.025954840271411594,0.027751387355063106,-0.0608256281279847,0.04919824204955919,0.16262208762554617,-0.25131945797792243,-0.7729524967145895
1990,7,-0.20539463233424654,-0.1171009988357763,-0.23634062076275017,-0.24094651719331542,-0.023298318269758145,0.29215511451094617,-0.08003435917700269,0.14142587891622907,0.1351419029110129,0.6345608767210236
2000,7,-0.2616229356767105,-0.0030471573847770106,-0.5127907672733383,0.28838194366409237,-0.07875793521416108,-0.024536183951058332,-0.1381545570965345,-0.07424887120087931,0.3672781777282962,0.7115418197782412
1960,8,-0.22843532266849387,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,8,-0.09232418023013711,-0.0169772199620373,0.3666109847233394,0.37536870892374175,-0.2075690909000274,0.21127663007172393,0.027294330470454597,0.7299808675880306,0.031928828341252546,-0.34723627644088007
1980,8,0.19639528450958732,0.3849354192504969,0.12931362297944815,0.1694084983040195,-0.07900378118385787,0.22677858141672835,0.06808752828998565,-0.08338857679429734,0.0028112826351522763,-0.6176366744157306
1990,8,0.12913680186575416,-0.0445633596497515,-0.16673211473016375,-0.09647787105044808,0.06859988756067226,-0.49519277622613284,0.030353635684452485,-0.4030873461312897,-0.018590538918203142,0.2674507512873566
2000,8,-0.004772583476710501,-0.3233948396387082,-0.3291924929726238,-0.448299336177313,0.217972984523213,0.05713756473768061,-0.12573549444489285,-0.24350494466244377,-0.016149572058201667,0.6974221995692542
1960,9,0.28150436153150604,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,9,-0.0028527400301374684,-0.10779405546100707,0.39627635474393824,-0.8454744334832793,0.06619676707703326,-0.9533988855170398,0.2280750026314922,0.3465096626211228,-0.33534999219284845,0.14695043087367132
1980,9,-0.03807266629041184,-0.07611463728003942,0.1552416235486329,-0.003408038164907423,0.02120518178288397,0.4037244083666476,0.4849834197698051,0.24869174099433222,-0.08260017477599879,0.11658357645160322
1990,9,0.016560494065753772,0.16544909617468462,-0.19406162884362899,0.5974436075755543,-0.022819797355080162,0.6719134187002493,-0.13281569325478904,-0.3810128234681185,0.1460783163428636,-0.1420182347732717
2000,9,-0.2571394492767105,0.01845959656636187,-0.35745634944894245,0.2514388640726324,-0.06458215150483715,-0.1222389415498577,-0.5802427291465083,-0.21418858014733644,0.2718718506259834,-0.12151577255200285
1960,10,-0.06704163406849406,NA,NA,NA,NA,NA,NA,NA,NA,NA
