Time,Estimate,lower_bound,upper_bound,p_val
1990,-0.005293423092080474,NA,NA,NA
1990.25,-0.001338397153354265,NA,NA,NA
1990.5,0.00267030281970726,NA,NA,NA
1990.75,0.006735847436532438,NA,NA,NA
1991,0.010861706432947926,NA,NA,NA
1991.25,0.008288999078040149,NA,NA,NA
1991.5,0.005773858786040975,NA,NA,NA
1991.75,0.003312041085511197,NA,NA,NA
1992,8.995709353492032e-4,NA,NA,NA
1992.25,-8.445231382623319e-4,NA,NA,NA
1992.5,-0.0025245273505589694,NA,NA,NA
1992.75,-0.0041425173795364145,NA,NA,NA
1993,-0.005700518037532021,NA,NA,NA
1993.25,-0.0030833060592652117,NA,NA,NA
1993.5,-5.226108712577116e-4,NA,NA,NA
1993.75,0.0019840244454503164,NA,NA,NA
1994,0.004438884305013602,NA,NA,NA
1994.25,0.0010666889731290041,NA,NA,NA
1994.5,-0.0022149234437787158,NA,NA,NA
1994.75,-0.005409225032382281,NA,NA,NA
1995,-0.0085193338367624,NA,NA,NA
1995.25,-0.006535725398270742,NA,NA,NA
1995.5,-0.004536350613712159,NA,NA,NA
1995.75,-0.002524127963718925,NA,NA,NA
1996,-5.016596809852558e-4,NA,NA,NA
1996.25,2.743102844977585e-4,NA,NA,NA
1996.5,0.0013237085756010458,NA,NA,NA
1996.75,0.002622891654590731,NA,NA,NA
1997,0.0041510967503146645,NA,NA,NA
1997.25,0.00455448919365864,NA,NA,NA
1997.5,0.005014132193418064,NA,NA,NA
1997.75,0.0055280172295262275,NA,NA,NA
1998,0.006094305427987834,NA,NA,NA
1998.25,0.003926087946950929,NA,NA,NA
1998.5,0.0018598861473808626,NA,NA,NA
1998.75,-1.0976722514755011e-4,NA,NA,NA
1999,-0.0019879693914184315,NA,NA,NA
1999.25,-0.0033689566005996596,NA,NA,NA
1999.5,-0.004603244106238691,NA,NA,NA
1999.75,-0.005695085644054743,NA,NA,NA
2000,-0.006648389401927801,NA,NA,NA
2000.25,-0.002608289195103808,NA,NA,NA
2000.5,0.0013930738628040729,NA,NA,NA
2000.75,0.005356566818370823,NA,NA,NA
2001,0.00928302978979012,NA,NA,NA
2001.25,0.005893161642287481,NA,NA,NA
2001.5,0.002594107738682183,NA,NA,NA
2001.75,-6.17856410661588e-4,NA,NA,NA
2002,-0.0037462341136098587,NA,NA,NA
2002.25,-0.004022257749149105,NA,NA,NA
2002.5,-0.004261514221434837,NA,NA,NA
2002.75,-0.00446571309226762,NA,NA,NA
2003,-0.004636464895423131,NA,NA,NA
2003.25,-8.957721759248471e-4,NA,NA,NA
2003.5,0.0028364483498446447,NA,NA,NA
2003.75,0.006557667539222933,NA,NA,NA
2004,0.010265693480917548,NA,NA,NA
2004.25,0.005490593938313637,NA,NA,NA
2004.5,9.085275386357949e-4,NA,NA,NA
2004.75,-0.003488466991868222,NA,NA,NA
2005,-0.007708196295107328,NA,NA,NA
2005.25,-0.011185907944614826,NA,NA,NA
2005.5,-0.006735338255694501,NA,NA,NA
2005.75,-0.030553477962168785,NA,NA,NA
2006,-4.470160374339116e-4,NA,NA,NA
2006.25,0.0043397979122534736,NA,NA,NA
2006.5,-3.3338138501015635e-4,NA,NA,NA
2006.75,-0.0025399479729060204,NA,NA,NA
2007,0.015637766919367024,NA,NA,NA
2007.25,0.006550661542046754,NA,NA,NA
2007.5,-3.115918407399221e-4,NA,NA,NA
2007.75,-0.0031716410563333852,NA,NA,NA
2008,0.015472226404257938,NA,NA,NA
2008.25,0.00749203684568478,NA,NA,NA
2008.5,-0.0015029818706384646,NA,NA,NA
2008.75,-0.004246462474451818,NA,NA,NA
2009,-0.004987766897762924,NA,NA,NA
2009.25,0.001225798281556223,NA,NA,NA
2009.5,0.0021451972000079422,NA,NA,NA
2009.75,0.007417219482267257,NA,NA,NA
2010,-0.017158319403055344,NA,NA,NA
2010.25,-0.009960310656653704,NA,NA,NA
2010.5,-2.9783704673747025e-4,NA,NA,NA
2010.75,0.0068381408546898115,NA,NA,NA
2011,0.0012689413646338465,NA,NA,NA
2011.25,1.085088154262337e-5,NA,NA,NA
2011.5,0.0073586713800040116,NA,NA,NA
2011.75,-0.008471640022278848,NA,NA,NA
2012,0.0042948581310593426,NA,NA,NA
2012.25,-0.0223343240737357,-0.04094498198757987,0.003043845808779061,0.037
2012.5,-0.047038418777516355,-0.07580034464436643,-0.018276492910666298,0.023
2012.75,-0.04252001808707462,-0.07128194395392469,-0.01375809222022456,0.017
2013,-0.029674741775941982,-0.05505291165845675,-9.128159090919241e-4,0.033
2013.25,-0.04119698614411327,-0.06657515602662803,-0.01243506027726321,0.013
2013.5,-0.05922698325225184,-0.08798890911910191,-0.037232569354072376,0.024
2013.75,-0.044669133657953,-0.07343105952480307,-0.019290963775438236,0.024
2014,-0.05803598179597813,-0.09018166364716351,-0.025890299944792763,0.018
2014.25,-0.05516411790400255,-0.08730979975518793,-0.023018436052817184,0.023
2014.5,-0.04148561511696691,-0.08039880893682289,-0.005956177281446248,0.03
2014.75,-0.029232190340387376,-0.07152914014457866,0.006297247495133287,0.044
2015,-0.04004239256791209,-0.08233934237210337,0,0.054
2015.25,-0.03045079575686671,-0.06598023359238739,0.005078642078653953,0.054
2015.5,-0.03269061065346612,-0.0749875604576574,0,0.052
2015.75,-0.02895346873721394,-0.07125041854140522,0.009959725082642035,0.046
2016,-0.03829084857969178,-0.08397155436821836,0.0040061012244994865,0.055
