fips,year,qtr,state,gdp,revenuepop,rev_state_total,rev_local_total,popestimate,qtrly_estabs_count,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,avg_wkly_wage,year_qtr,treated,gdpcapita,lngdp,lngdpcapita,revstatecapita,revlocalcapita,emplvl1capita,emplvl2capita,emplvl3capita,emplvlcapita,totalwagescapita,taxwagescapita,avgwklywagecapita,estabscapita,abb
1,1990,1,Alabama,71610,NA,NA,NA,4050055,86586,1571410,1572535,1581994,7832159837,0,382,1990,0,17681.241365857994,11.178990008000985,9.780259546727835,NA,NA,0.3879972000380242,0.38827497404356237,0.39061049788212754,0.38896089065457135,1933.840364390113,0,382,0.021378968927582464,AL
1,1990,2,Alabama,72718.25,NA,NA,NA,4062330.25,86188,1599077,1610310,1618397,8107228382,0,388,1990.25,0,17900.624893803255,11.194347663655305,9.792590901487836,NA,NA,0.39363540175001777,0.3964005634450818,0.39839129278078755,0.3961424193252957,1995.7088378031303,0,388,0.021216394211179653,AL
1,1990,3,Alabama,73826.5,NA,NA,NA,4074605.5,86799,1599355,1604376,1611040,8102930357,0,388,1990.5,0,18118.686582050705,11.209473024726062,9.804699092535559,NA,NA,0.3925177541727659,0.3937500207075262,0.3953855164628821,0.39388443044772475,1988.6416873977125,0,388,0.02130243038252415,AL
1,1990,4,Alabama,74934.75,NA,NA,NA,4086880.75,87915,1612133,1614907,1615504,8725347965,0,416,1990.75,0,18335.43834133159,11.224373013848803,9.816590987573433,NA,NA,0.39446538781441076,0.3951441450793493,0.39529022225568977,0.39496658504981663,2134.965147930974,0,416,0.021511515842491856,AL
1,1991,1,Alabama,76043,NA,NA,NA,4099156,91626,1581388,1580574,1590768,8165870493,0,396,1991,0,18550.89193970661,11.239054248743635,9.828273149882682,NA,NA,0.38578380525161765,0.38558522778835447,0.38807208117963793,0.3864803714065367,1992.085808151727,0,396,0.02235240620264269,AL
1,1991,2,Alabama,77347.25,NA,NA,NA,4112870.5,91880,1598886,1607915,1611020,8424720751,0,404,1991.25,0,18806.14767715152,11.256060302686588,9.841939099467655,NA,NA,0.38875184618625847,0.3909471499284988,0.39170209711198056,0.3904670310755793,2048.3797753904482,0,404,0.022339628733751768,AL
1,1991,3,Alabama,78651.5,NA,NA,NA,4126585,93501,1602156,1608671,1618970,8491170122,0,406,1991.5,0,19059.70675510137,11.272781980141813,9.8553317917331409,NA,NA,0.388252271551416,0.3898310588537495,0.3923268271464177,0.39013671918386106,2057.6748381530974,0,406,0.022658202848117752,AL
1,1991,4,Alabama,79955.75,NA,NA,NA,4140299.5,93138,1624888,1626229,1628008,9137622565,0,432,1991.75,0,19311.586033812287,11.289228635625953,9.86846050741019,NA,NA,0.3924566326663083,0.3927805222786419,0.39321020133929924,0.39281578542808315,2206.9955482689115,0,432,0.022495474059304164,AL
1,1992,1,Alabama,81260,1443.2860594346462,NA,NA,4154014,92864,1602304,1605548,1616322,8663062994,0,414,1992,0,19561.802150883457,11.305409169541718,9.88133407384793,NA,NA,0.3857242657342994,0.38650519714184883,0.38909883308048554,0.3871094319855446,2085.467933906819,0,414,0.022355244830662584,AL
1,1992,2,Alabama,82085.75,1443.2860594346462,NA,NA,4169061,93828,1630120,1640104,1643646,8868612807,0,416,1992.25,0,19689.265760323487,11.315519711557195,9.88782888095939,NA,NA,0.39100411339627794,0.39339889725767985,0.3942484890482533,0.3928838332340704,2127.244673800647,0,416,0.022505787274400637,AL
