unit_id,coord_i,coord_j,beta_1,beta_2,beta_3,beta_4,alpha
0,1,1,1.054931640625,1.0666666666666667,1.5,0.0,2.0681731724173913
1,1,2,1.1025390625,1.1,1.5,0.0,4.27892435387168
2,1,3,1.142822265625,1.1333333333333333,1.5,0.0,6.642082744805096
3,1,4,1.17578125,1.1666666666666667,1.5,0.0,9.168155161948565
4,1,5,1.201416015625,1.2,1.5,0.0,11.868372752582685
5,1,6,1.2197265625,1.2333333333333334,1.5,0.0,14.75474092923811
6,1,7,1.230712890625,1.2666666666666666,1.5,0.0,17.840092746849468
7,1,8,1.234375,1.3,1.5,0.0,21.138145959682596
8,1,9,1.230712890625,1.3333333333333333,1.5,0.0,24.663564011715266
9,1,10,1.2197265625,1.3666666666666667,1.5,0.0,28.43202123164027
10,1,11,1.201416015625,1.4,1.5,0.0,32.46027252235366
11,1,12,1.17578125,1.4333333333333333,1.5,0.0,36.76622785477404
12,1,13,1.142822265625,1.4666666666666668,1.5,0.0,41.36903189719904
13,1,14,1.1025390625,1.5,1.5,0.0,46.289149134238635
14,1,15,1.054931640625,1.5333333333333332,1.5,0.0,51.548454853771354
15,2,1,1.1025390625,1.1,1.5,0.0,2.0681731724173913
16,2,2,1.19140625,1.1333333333333333,1.5,0.0,4.27892435387168
17,2,3,1.2666015625,1.1666666666666667,1.5,0.0,6.642082744805096
18,2,4,1.328125,1.2,1.5,0.0,9.168155161948565
19,2,5,1.3759765625,1.2333333333333334,1.5,0.0,11.868372752582685
20,2,6,1.41015625,1.2666666666666666,1.5,0.0,14.75474092923811
21,2,7,1.4306640625,1.3,1.5,0.0,17.840092746849468
22,2,8,1.4375,1.3333333333333333,1.5,0.0,21.138145959682596
23,2,9,1.4306640625,1.3666666666666667,1.5,0.0,24.663564011715266
24,2,10,1.41015625,1.4,1.5,0.0,28.43202123164027
25,2,11,1.3759765625,1.4333333333333333,1.5,0.0,32.46027252235366
26,2,12,1.328125,1.4666666666666668,1.5,0.0,36.76622785477404
27,2,13,1.2666015625,1.5,1.5,0.0,41.36903189719904
28,2,14,1.19140625,1.5333333333333332,1.5,0.0,46.289149134238635
29,2,15,1.1025390625,1.5666666666666667,1.5,0.0,51.548454853771354
30,3,1,1.142822265625,1.1333333333333333,1.5,0.0,2.0681731724173913
31,3,2,1.2666015625,1.1666666666666667,1.5,0.0,4.27892435387168
32,3,3,1.371337890625,1.2,1.5,0.0,6.642082744805096
33,3,4,1.45703125,1.2333333333333334,1.5,0.0,9.168155161948565
34,3,5,1.523681640625,1.2666666666666666,1.5,0.0,11.868372752582685
35,3,6,1.5712890625,1.3,1.5,0.0,14.75474092923811
36,3,7,1.599853515625,1.3333333333333333,1.5,0.0,17.840092746849468
37,3,8,1.609375,1.3666666666666667,1.5,0.0,21.138145959682596
38,3,9,1.599853515625,1.4,1.5,0.0,24.663564011715266
39,3,10,1.5712890625,1.4333333333333333,1.5,0.0,28.43202123164027
40,3,11,1.523681640625,1.4666666666666668,1.5,0.0,32.46027252235366
41,3,12,1.45703125,1.5,1.5,0.0,36.76622785477404
42,3,13,1.371337890625,1.5333333333333332,1.5,0.0,41.36903189719904
43,3,14,1.2666015625,1.5666666666666667,1.5,0.0,46.289149134238635
44,3,15,1.142822265625,1.6,1.5,0.0,51.548454853771354
45,4,1,1.17578125,1.1666666666666667,1.5,0.0,2.0681731724173913
46,4,2,1.328125,1.2,1.5,0.0,4.27892435387168
47,4,3,1.45703125,1.2333333333333334,1.5,0.0,6.642082744805096
48,4,4,1.5625,1.2666666666666666,1.5,0.0,9.168155161948565
49,4,5,1.64453125,1.3,1.5,0.0,11.868372752582685
50,4,6,1.703125,1.3333333333333333,1.5,0.0,14.75474092923811
51,4,7,1.73828125,1.3666666666666667,1.5,0.0,17.840092746849468
52,4,8,1.75,1.4,1.5,0.0,21.138145959682596
53,4,9,1.73828125,1.4333333333333333,1.5,0.0,24.663564011715266
54,4,10,1.703125,1.4666666666666668,1.5,0.0,28.43202123164027
55,4,11,1.64453125,1.5,1.5,0.0,32.46027252235366
56,4,12,1.5625,1.5333333333333332,1.5,0.0,36.76622785477404
57,4,13,1.45703125,1.5666666666666667,1.5,0.0,41.36903189719904
58,4,14,1.328125,1.6,1.5,0.0,46.289149134238635
59,4,15,1.17578125,1.6333333333333333,1.5,0.0,51.548454853771354
60,5,1,1.201416015625,1.2,1.5,0.0,2.0681731724173913
61,5,2,1.3759765625,1.2333333333333334,1.5,0.0,4.27892435387168
62,5,3,1.523681640625,1.2666666666666666,1.5,0.0,6.642082744805096
63,5,4,1.64453125,1.3,1.5,0.0,9.168155161948565
64,5,5,1.738525390625,1.3333333333333333,1.5,0.0,11.868372752582685
65,5,6,1.8056640625,1.3666666666666667,1.5,0.0,14.75474092923811
66,5,7,1.845947265625,1.4,1.5,0.0,17.840092746849468
67,5,8,1.859375,1.4333333333333333,1.5,0.0,21.138145959682596
68,5,9,1.845947265625,1.4666666666666668,1.5,0.0,24.663564011715266
69,5,10,1.8056640625,1.5,1.5,0.0,28.43202123164027
70,5,11,1.738525390625,1.5333333333333332,1.5,0.0,32.46027252235366
71,5,12,1.64453125,1.5666666666666667,1.5,0.0,36.76622785477404
72,5,13,1.523681640625,1.6,1.5,0.0,41.36903189719904
73,5,14,1.3759765625,1.6333333333333333,1.5,0.0,46.289149134238635
74,5,15,1.201416015625,1.6666666666666665,1.5,0.0,51.548454853771354
75,6,1,1.2197265625,1.2333333333333334,1.5,0.0,2.0681731724173913
76,6,2,1.41015625,1.2666666666666666,1.5,0.0,4.27892435387168
77,6,3,1.5712890625,1.3,1.5,0.0,6.642082744805096
78,6,4,1.703125,1.3333333333333333,1.5,0.0,9.168155161948565
79,6,5,1.8056640625,1.3666666666666667,1.5,0.0,11.868372752582685
80,6,6,1.87890625,1.4,1.5,0.0,14.75474092923811
81,6,7,1.9228515625,1.4333333333333333,1.5,0.0,17.840092746849468
82,6,8,1.9375,1.4666666666666668,1.5,0.0,21.138145959682596
83,6,9,1.9228515625,1.5,1.5,0.0,24.663564011715266
84,6,10,1.87890625,1.5333333333333332,1.5,0.0,28.43202123164027
85,6,11,1.8056640625,1.5666666666666667,1.5,0.0,32.46027252235366
86,6,12,1.703125,1.6,1.5,0.0,36.76622785477404
87,6,13,1.5712890625,1.6333333333333333,1.5,0.0,41.36903189719904
88,6,14,1.41015625,1.6666666666666665,1.5,0.0,46.289149134238635
89,6,15,1.2197265625,1.7,1.5,0.0,51.548454853771354
90,7,1,1.230712890625,1.2666666666666666,1.5,0.0,2.0681731724173913
91,7,2,1.4306640625,1.3,1.5,0.0,4.27892435387168
92,7,3,1.599853515625,1.3333333333333333,1.5,0.0,6.642082744805096
93,7,4,1.73828125,1.3666666666666667,1.5,0.0,9.168155161948565
94,7,5,1.845947265625,1.4,1.5,0.0,11.868372752582685
95,7,6,1.9228515625,1.4333333333333333,1.5,0.0,14.75474092923811
