country_id,year,ln_co2,ln_gdp,ln_gdp_sq,ln_gdp_cb,fossil_fuel,renewable,urban,globalization,pop_density,democracy,corruption,industry,services,trade,fdi,credit
14,1995,-18.670021,9.937499,98.753891,981.36664,64.861603,15.931071,48.771809,59.403435,34.876591,6.0303278,68.00808,21.431854,47.983356,113.01836,3.8453557,56.795891
33,1995,-17.954321,10.89221,118.64024,1292.2544,63.519562,7.4202733,71.943329,76.216103,84.722778,.9852742,14.183916,38.441559,46.645096,71.905975,.69176757,69.353844
53,1995,-19.627756,9.120553,83.184486,758.68854,50.069103,10.728712,28.014486,49.996517,46.284378,9.2169008,14.082441,19.295855,47.225983,74.949348,5.9670448,54.585194
79,1995,-18.100765,10.905345,118.92655,1296.9351,67.204201,16.399029,78.774452,72.859795,95.068634,-5.4457545,40.118755,34.888023,51.255451,70.17485,6.2037578,52.245197
67,1995,-17.449923,11.340261,128.60153,1458.375,79.122147,17.182945,82.071327,84.09108,75.340538,-1.6476696,95.45726,26.583111,54.703232,71.876831,8.2625313,101.73338
74,1995,-18.917852,9.7828074,95.703323,936.24713,57.302376,38.486916,52.332893,67.178711,94.20266,-.65222752,76.248932,29.911999,37.69408,55.809052,1.4318583,56.259499
3,1995,-18.203623,10.150193,103.02642,1045.738,78.493042,22.631592,49.242359,60.764332,37.037994,6.1950665,82.113754,23.065424,48.63496,72.756462,-1.4084843,75.092308
1,1995,-18.975185,8.4441614,71.303864,602.10132,48.607338,23.776066,38.903835,39.195972,50.306629,8.7830763,97.756882,22.945601,47.794193,44.355949,1.0994327,45.970722
69,1995,-18.704462,10.98571,120.68583,1325.8195,74.343483,27.739357,65.116241,54.161655,44.701897,2.2308221,29.756142,25.917334,33.319347,75.431847,9.2413301,55.461365
17,1995,-19.764811,8.6315889,74.504326,643.09076,64.075874,43.06205,49.899246,50.279449,1,-2.4266183,58.497105,25.46563,43.332897,74.022377,3.0738196,47.023701
37,1995,-17.025818,11.012062,121.26551,1335.3833,71.898819,4.4615841,64.043709,69.783875,43.003307,5.8478894,58.086433,28.797899,49.994251,71.110237,10.212033,67.77066
18,1995,-19.942831,7.1309285,50.85014,362.60873,28.692265,43.528332,40.794884,45.04126,45.37458,9.429534,25.965538,18.920675,35.341442,52.298386,-7.981565,36.195816
48,1995,-19.126274,10.049016,100.98272,1014.777,54.064262,11.755099,68.761063,81.690903,24.324896,5.7413883,41.925323,24.997318,43.012939,81.677788,-6.7910233,48.261253
63,1995,-18.717714,8.7973776,77.393852,680.86292,55.863331,15.286901,51.022747,48.468475,45.864162,-.30590993,44.548004,21.248835,38.684231,71.333199,3.5352652,45.723682
19,1995,-18.218906,10.616383,112.70758,1196.5468,64.685997,14.761005,59.541393,59.445263,471.46005,.75495398,78.714722,30.213875,51.983574,69.180168,-1.2038817,37.565567
44,1995,-18.540689,9.7231112,94.538887,919.21216,40.914783,38.182396,51.400291,50.640484,31.068541,-.15186432,34.851425,31.552578,36.750633,75.133392,-3.7883456,74.884773
64,1995,-18.702335,10.181682,103.66664,1055.5007,63.808334,17.554987,57.137032,69.447655,197.20038,1.5614092,41.064316,25.877939,53.697361,128.05946,.84669328,75.722702
20,1995,-19.112558,8.7828636,77.138695,677.4986,41.403416,29.618158,53.676346,53.002121,11.911198,-2.2973671,26.665703,20.556004,46.775185,73.960297,7.7063546,53.09766
60,1995,-18.221012,10.693482,114.35056,1222.8058,69.264336,17.615503,63.617855,57.894161,704.28033,-2.1762266,51.307026,38.070698,49.770874,77.592354,-7.3418956,60.847748
71,1995,-18.510796,11.233711,126.19627,1417.6525,66.052818,18.204006,74.908997,69.376343,42.877979,7.7632594,64.647804,29.06687,50.217663,39.087635,-.62253493,24.877796
23,1995,-19.473658,7.1858044,51.635784,371.04465,34.410149,49.301411,31.826782,49.589298,9.9124441,9.1810074,91.993889,23.072197,38.523117,32.769054,-5.1929774,31.783943
13,1995,-18.452263,11.147607,124.26914,1385.3035,90.627228,14.704338,50.254894,65.386703,22.306278,-3.1512032,25.202135,27.084599,44.520676,56.965416,7.0728474,79.531158
31,1995,-19.866146,8.4202681,70.900917,597.0047,50.037193,36.257965,52.582176,46.337669,64.794403,6.5734148,33.668587,22.00823,34.122799,58.29303,-.42223614,30.57966
80,1995,-18.584021,9.6130161,92.41008,888.3396,61.441151,30.053534,58.830425,48.83548,97.786346,-3.9496057,32.492699,25.736528,35.723675,75.858589,5.5124688,49.123051
8,1995,-18.994057,10.155442,103.133,1047.3613,81.541634,22.414633,64.709877,65.934784,122.1508,3.8606179,91.868835,28.482069,33.693092,89.179085,1.099259,44.542568
57,1995,-18.905245,9.4351625,89.022293,839.93982,86.352081,35.480488,47.373032,54.051735,1,1.771449,83.285767,38.390091,33.92527,50.29348,-3.27425,38.318329
75,1995,-19.145239,8.2214603,67.592407,555.70831,26.755241,31.283684,48.16441,36.691154,13.745101,9.0786486,90.65992,28.804529,23.913099,46.966518,2.0386868,44.856369
5,1995,-17.554945,9.7316942,94.705872,921.64862,63.688107,11.5299,44.813961,62.840595,4.516839,7.9046679,38.541779,23.960852,46.666084,61.737915,-6.2692304,56.671169
26,1995,-18.095421,9.8597193,97.214066,958.50336,74.047531,17.042656,46.912781,66.361,59.682262,3.2922468,36.980801,22.409742,48.039822,74.549416,5.4565554,49.076111
55,1995,-19.287157,10.540676,111.10585,1171.1309,66.211723,27.106943,73.699257,71.714111,18.610975,1.6682734,40.843132,34.709587,45.492676,73.042137,10.628736,70.949043
77,1995,-18.084299,11.342503,128.65236,1459.2397,94.302734,8.2638817,72.128304,57.396393,1302.5353,-1.6154274,54.799683,29.16186,58.615402,90.651596,1.1836449,76.054359
43,1995,-19.260567,7.000176,49.002464,343.02588,13.732904,31.204226,22.420162,40.024261,5.4450378,-1.9559314,5.6442003,29.170305,38.736,52.804497,5.9415207,31.298035
56,1995,-18.176912,11.273512,127.09207,1432.7739,78.348099,14.49697,81.407417,83.284386,159.974,.3709729,93.849289,44.462086,56.93504,95.266182,11.237657,44.746372
28,1995,-18.285835,11.427511,130.58801,1492.296,92.709518,15.731263,77.305969,71.59964,19.147955,3.4541731,40.051189,31.583025,51.641621,65.580444,-3.3789704,77.144363
52,1995,-17.589495,10.632328,113.0464,1201.9464,80.374664,11.464363,56.682079,61.703365,6.2505527,1.4903142,37.579643,26.947979,47.925888,63.671593,6.3920207,51.959419
21,1995,-19.302139,9.0957203,82.732124,752.5083,66.366043,30.639446,53.926277,41.108696,11.371922,2.3468337,36.17371,27.704552,38.300079,82.325485,-1.0966496,41.088017
54,1995,-20.61739,7.8112779,61.016064,476.6134,27.736937,33.498539,34.435806,44.76078,199.09653,9.5707159,89.656189,29.276964,24.373972,16.614004,8.3509893,54.152615
30,1995,-19.325163,8.6363516,74.586571,644.15582,54.219986,27.228275,43.448208,49.518513,24.850773,8.9256735,33.762932,27.351084,37.44014,82.122665,1.019307,39.937302
29,1995,-19.801477,8.2993822,68.879745,571.6593,42.859852,36.404186,47.949154,63.746387,74.869667,-4.0644302,9.442522,19.437925,32.716042,69.551186,-3.7753131,38.739578
6,1995,-18.32445,11.499217,132.23199,1520.5643,76.047012,7.5011954,62.86557,70.986153,232.6879,6.7563858,5.9869261,31.605444,50.088932,98.497673,-1.0034124,73.601921
9,1995,-19.255157,8.3422213,69.592659,580.55731,46.165668,37.034767,40.421036,44.772797,1.8020318,-2.0973701,33.800865,8.6407137,48.84251,56.481609,.67367727,66.362373
49,1995,-18.098461,9.213439,84.887459,782.10541,69.377617,32.555183,40.316643,49.30661,71.785751,3.0486958,83.033432,21.952496,39.449619,55.851128,-.79876482,40.243801
65,1995,-19.71921,8.2206297,67.578751,555.53992,52.815487,33.567078,32.013371,48.899342,8.5499687,-.9284361,37.13797,20.448021,36.240902,43.332626,.20623079,51.645443
32,1995,-18.978601,8.8591566,78.484657,695.30786,38.879665,33.815098,51.64579,49.429592,157.42651,3.7939243,57.1703,19.082592,51.334641,66.234703,4.2743759,16.212826
73,1995,-18.668852,9.400485,88.369118,830.71259,48.683167,35.826809,35.960751,54.846237,141.23309,-2.6714737,71.098045,25.77759,41.722191,81.579445,2.2611942,29.061295
72,1995,-18.629673,7.4468074,55.454941,412.96225,38.668133,42.209412,50.778397,37.725636,19.659781,3.5739229,25.388466,19.337004,38.396454,42.226234,5.5687675,41.139145
